S/N,skill_name,skill_type,median_salary,average_yearly_salary
153,slack,sync,82500,83442
154,word,analyst_tools,80850,82941
155,chef,other,87050,82825
156,selenium,libraries,82500,82500
157,fortran,programming,82500,82500
158,ruby,programming,79000,80960
159,ruby,webframeworks,79000,80960
160,outlook,analyst_tools,79564,80680
161,monday.com,async,67500,79000
162,spreadsheet,analyst_tools,79350,78466
163,planner,async,81000,77039
164,workfront,async,75000,76820
165,wrike,async,75000,75000
166,julia,programming,80850,73680
167,npm,other,61250,73419
168,dart,programming,66444,72674
169,erlang,programming,72500,72500
170,smartsheet,async,63250,71221
171,tidyverse,libraries,65000,70600
172,vb.net,programming,60000,69600
173,wire,sync,74250,68375
174,opencv,libraries,67818,67818
175,sass,programming,67698,67699
176,colocation,cloud,67500,67500
177,trello,async,50325,65193
178,vue,webframeworks,65000,65000
179,macos,os,54359,57933
180,graphql,libraries,53014,57009
181,ruby on rails,webframeworks,51059,51059
